дек 23 10:05:49 	7.996GiB / 31.03GiB	25.77%	160.74%
дек 23 10:05:51 	8.1GiB / 31.03GiB	26.10%	373.43%
дек 23 10:05:53 	8.125GiB / 31.03GiB	26.19%	40.92%
дек 23 10:05:55 	8.125GiB / 31.03GiB	26.19%	37.55%
дек 23 10:05:57 	8.126GiB / 31.03GiB	26.19%	1.26%
дек 23 10:05:59 	8.126GiB / 31.03GiB	26.19%	0.93%
дек 23 10:06:01 	8.125GiB / 31.03GiB	26.18%	2.10%
дек 23 10:06:03 	8.139GiB / 31.03GiB	26.23%	2.94%
дек 23 10:06:05 	8.137GiB / 31.03GiB	26.22%	194.29%
дек 23 10:06:07 	8.148GiB / 31.03GiB	26.26%	82.10%
дек 23 10:06:10 	8.14GiB / 31.03GiB	26.23%	273.35%
дек 23 10:06:12 	8.152GiB / 31.03GiB	26.27%	10.69%
дек 23 10:06:14 	8.152GiB / 31.03GiB	26.27%	219.75%
дек 23 10:06:16 	8.152GiB / 31.03GiB	26.27%	1.47%
дек 23 10:06:18 	8.153GiB / 31.03GiB	26.27%	121.94%
дек 23 10:06:20 	8.149GiB / 31.03GiB	26.26%	1.55%
дек 23 10:06:22 	8.143GiB / 31.03GiB	26.24%	145.42%
дек 23 10:06:24 	8.19GiB / 31.03GiB	26.39%	229.08%
дек 23 10:06:26 	8.197GiB / 31.03GiB	26.42%	349.35%
дек 23 10:06:28 	8.198GiB / 31.03GiB	26.42%	42.23%
дек 23 10:06:30 	8.185GiB / 31.03GiB	26.38%	47.18%
