дек 23 10:08:33 	5.049GiB / 31.03GiB	16.27%	97.44%
дек 23 10:08:35 	8.057GiB / 31.03GiB	25.97%	259.11%
дек 23 10:08:37 	8.128GiB / 31.03GiB	26.19%	131.77%
дек 23 10:08:39 	8.128GiB / 31.03GiB	26.19%	39.45%
дек 23 10:08:42 	8.129GiB / 31.03GiB	26.20%	26.31%
дек 23 10:08:44 	8.129GiB / 31.03GiB	26.20%	0.84%
дек 23 10:08:46 	8.113GiB / 31.03GiB	26.15%	77.83%
дек 23 10:08:48 	8.146GiB / 31.03GiB	26.25%	81.88%
дек 23 10:08:50 	8.146GiB / 31.03GiB	26.25%	142.25%
дек 23 10:08:52 	8.143GiB / 31.03GiB	26.24%	200.34%
дек 23 10:08:54 	8.148GiB / 31.03GiB	26.26%	163.68%
дек 23 10:08:56 	8.148GiB / 31.03GiB	26.26%	79.26%
дек 23 10:08:58 	8.148GiB / 31.03GiB	26.26%	2.37%
дек 23 10:09:01 	8.159GiB / 31.03GiB	26.29%	243.94%
дек 23 10:09:03 	8.161GiB / 31.03GiB	26.30%	224.20%
дек 23 10:09:05 	8.161GiB / 31.03GiB	26.30%	93.61%
дек 23 10:09:07 	8.157GiB / 31.03GiB	26.29%	37.24%
дек 23 10:09:09 	8.184GiB / 31.03GiB	26.38%	238.30%
дек 23 10:09:11 	8.183GiB / 31.03GiB	26.37%	97.38%
дек 23 10:09:13 	8.183GiB / 31.03GiB	26.37%	86.04%
дек 23 10:09:15 	8.167GiB / 31.03GiB	26.32%	2.65%
дек 23 10:09:18 	8.16GiB / 31.03GiB	26.30%	107.25%
дек 23 10:09:20 	8.16GiB / 31.03GiB	26.30%	110.30%
дек 23 10:09:22 	8.16GiB / 31.03GiB	26.30%	46.25%
дек 23 10:09:24 	8.163GiB / 31.03GiB	26.31%	7.21%
дек 23 10:09:26 	8.16GiB / 31.03GiB	26.30%	152.67%
дек 23 10:09:28 	8.173GiB / 31.03GiB	26.34%	211.81%
дек 23 10:09:30 	8.173GiB / 31.03GiB	26.34%	67.97%
дек 23 10:09:32 	8.175GiB / 31.03GiB	26.34%	46.35%
дек 23 10:09:34 	8.18GiB / 31.03GiB	26.36%	340.93%
дек 23 10:09:37 	8.178GiB / 31.03GiB	26.36%	71.02%
дек 23 10:09:39 	8.161GiB / 31.03GiB	26.30%	69.81%
дек 23 10:09:41 	8.16GiB / 31.03GiB	26.30%	63.03%
дек 23 10:09:43 	8.156GiB / 31.03GiB	26.28%	66.00%
дек 23 10:09:45 	8.156GiB / 31.03GiB	26.28%	63.69%
дек 23 10:09:47 	8.156GiB / 31.03GiB	26.28%	9.76%
дек 23 10:09:49 	8.145GiB / 31.03GiB	26.25%	78.51%
дек 23 10:09:51 	8.145GiB / 31.03GiB	26.25%	65.78%
дек 23 10:09:53 	8.145GiB / 31.03GiB	26.25%	12.66%
