дек 23 10:12:36 	143.9MiB / 31.03GiB	0.45%	106.51%
дек 23 10:12:38 	145.2MiB / 31.03GiB	0.46%	41.36%
дек 23 10:12:40 	204.4MiB / 31.03GiB	0.64%	226.81%
дек 23 10:12:42 	253.6MiB / 31.03GiB	0.80%	72.23%
дек 23 10:12:44 	256.1MiB / 31.03GiB	0.81%	71.65%
дек 23 10:12:46 	248.4MiB / 31.03GiB	0.78%	63.55%
дек 23 10:12:49 	248.6MiB / 31.03GiB	0.78%	66.61%
дек 23 10:12:51 	240.4MiB / 31.03GiB	0.76%	68.51%
дек 23 10:12:53 	242.1MiB / 31.03GiB	0.76%	2.81%
дек 23 10:12:55 	263.7MiB / 31.03GiB	0.83%	226.37%
дек 23 10:12:57 	256.6MiB / 31.03GiB	0.81%	65.02%
дек 23 10:12:59 	259.7MiB / 31.03GiB	0.82%	64.02%
дек 23 10:13:01 	257.6MiB / 31.03GiB	0.81%	67.50%
дек 23 10:13:03 	257.8MiB / 31.03GiB	0.81%	72.33%
дек 23 10:13:06 	259MiB / 31.03GiB	0.82%	19.15%
дек 23 10:13:08 	256.2MiB / 31.03GiB	0.81%	96.16%
дек 23 10:13:10 	256.1MiB / 31.03GiB	0.81%	73.07%
дек 23 10:13:12 	252MiB / 31.03GiB	0.79%	65.37%
дек 23 10:13:14 	252MiB / 31.03GiB	0.79%	65.59%
дек 23 10:13:16 	254.1MiB / 31.03GiB	0.80%	65.48%
дек 23 10:13:18 	254.1MiB / 31.03GiB	0.80%	66.81%
дек 23 10:13:20 	257.3MiB / 31.03GiB	0.81%	0.38%
дек 23 10:13:22 	255.4MiB / 31.03GiB	0.80%	79.56%
дек 23 10:13:25 	255.4MiB / 31.03GiB	0.80%	69.60%
дек 23 10:13:27 	255.5MiB / 31.03GiB	0.80%	73.64%
дек 23 10:13:29 	255.5MiB / 31.03GiB	0.80%	68.79%
дек 23 10:13:31 	255.5MiB / 31.03GiB	0.80%	67.21%
дек 23 10:13:33 	256.9MiB / 31.03GiB	0.81%	11.67%
дек 23 10:13:35 	285.7MiB / 31.03GiB	0.90%	118.27%
дек 23 10:13:37 	275.9MiB / 31.03GiB	0.87%	219.00%
дек 23 10:13:39 	302.2MiB / 31.03GiB	0.95%	245.93%
дек 23 10:13:41 	301MiB / 31.03GiB	0.95%	50.21%
дек 23 10:13:43 	300.6MiB / 31.03GiB	0.95%	37.85%
дек 23 10:13:46 	303.7MiB / 31.03GiB	0.96%	52.47%
дек 23 10:13:48 	306.3MiB / 31.03GiB	0.96%	37.42%
дек 23 10:13:50 	303.5MiB / 31.03GiB	0.96%	207.39%
дек 23 10:13:52 	301.6MiB / 31.03GiB	0.95%	54.07%
дек 23 10:13:54 	307.7MiB / 31.03GiB	0.97%	53.34%
дек 23 10:13:56 	312.1MiB / 31.03GiB	0.98%	54.14%
дек 23 10:13:58 	316MiB / 31.03GiB	0.99%	51.90%
дек 23 10:14:00 	319.3MiB / 31.03GiB	1.00%	25.26%
дек 23 10:14:02 	322.3MiB / 31.03GiB	1.01%	68.76%
дек 23 10:14:04 	322.7MiB / 31.03GiB	1.02%	51.00%
дек 23 10:14:07 	313.4MiB / 31.03GiB	0.99%	59.07%
дек 23 10:14:09 	315.3MiB / 31.03GiB	0.99%	53.68%
дек 23 10:14:11 	317MiB / 31.03GiB	1.00%	54.68%
дек 23 10:14:13 	318.2MiB / 31.03GiB	1.00%	15.19%
дек 23 10:14:15 	322.4MiB / 31.03GiB	1.01%	82.02%
дек 23 10:14:17 	324.1MiB / 31.03GiB	1.02%	44.33%
дек 23 10:14:19 	324.6MiB / 31.03GiB	1.02%	47.42%
дек 23 10:14:21 	324.6MiB / 31.03GiB	1.02%	39.10%
дек 23 10:14:23 	325.2MiB / 31.03GiB	1.02%	16.77%
